Point,Longitude_E,Latitude_N,Notes
1,67.69177235411564,23.9608697344795,Opening point
2,68.01543668658904,24.65806077968841,
3,68.42848083761469,25.10460255319422,
4,68.61259155055967,25.65133176824144,
5,68.11768226671248,26.23258152357704,
6,68.30322362023055,26.61020682839154,
7,68.60512736302633,27.15683206887287,
8,68.85127576704663,27.69042979656564,
9,68.90837372657506,28.1858478322988,
10,69.61646050796129,28.30184473031471,
11,70.68414805703878,28.97186814204213,
12,71.15142523692737,29.53902972537065,
13,71.559468435934,29.62811233875756,
14,72.69881210214709,29.89925651140601,
15,73.50301416728077,30.06779395282467,
16,76.3054578278006,30.73715240443906,
17,76.85502510838957,30.88192617266955,
18,75.65589482868728,32.15826332848854,
19,74.89134004557872,32.62177450341571,
20,73.89979786409161,33.26937003940574,
21,73.48664206939218,33.74858677626433,
22,72.8248587155534,34.09617195219852,
23,72.17723718501847,34.18059643201199,
24,71.21467201966858,34.39993518725041,
25,70.42319203705142,34.49400082451425,
26,69.81897012017274,34.8328217746129,
27,69.02209347771021,34.81661825668932,
28,68.54180103019944,34.4420982470839,
29,68.74082660122014,33.7801546274303,
30,69.6525901308564,33.72951627697794,
31,69.13609969887864,32.32562917783506,
32,68.47140110227937,31.00138966864399,
33,67.95953135326799,29.92180645775669,
34,67.52121957784112,29.32147802508537,
35,67.23121668404487,28.51973338470107,
36,67.02658874152192,27.957732121635,
37,66.77580670731162,27.28144862091944,
38,66.96733780215817,26.52520420644605,
39,67.17644055532396,25.97074226188276,
40,67.21499342423483,25.37423448801296,
41,67.3066408326087,24.86532628665762,
42,67.69177235411564,23.9608697344795,Closing point (= Point 1)
